Feature ID	Taxon	Confidence
d6d5e174b86f035260a7877f7072c5b5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.8624132760593982
81562004424b7bbf6f9df8a0119f374b	d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus_5141	0.9418432384582086
55992a2b37afabffe2c0f64c1ed7b5d1	d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Nitrososphaerales; f__Nitrosopumilaceae	0.9999990046913924
e06f2c56f93e4371b9b457b49b82b508	d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus_5141	0.996650359470596
7c2eb040b5ccc3af4556b327a1ec7014	d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Nitrososphaerales; f__Nitrosopumilaceae	0.9999993694786268
5d3a2dcbfbb34952235d6e8878d11e7b	d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus_5141; s__Nitrosopumilus sp002317795	0.7656755556081345
073edcbe60f733b531770bff2dc24f07	d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus_5141	0.8279755001915262
97276ef4302af5733cd89b05d20ddda4	d__Bacteria	0.9999360383183548
a48c851f59de98152f8927862bfe68f4	d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus_5141; s__Nitrosopumilus oxyclinae	0.8078198607698459
c71b0669a76074a7b0c8e18998b3ef42	d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus_5141; s__Nitrosopumilus oxyclinae	0.7634365762156643
97011936d52e5d97c5fd9604137ae277	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.8965453860966003
4788333449707e71e7de2444747242e4	d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus_4976	0.7301205278824017
0617f9cdddbc93fc9b55e98f2b2ee2ad	d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Cenarchaeum; s__Cenarchaeum sp003724275	0.9936456205962252
ef2875206af39e314d7cd1af8d7200c0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.9532013531213297
1d1d6dce9732988f12affb44bdfb6343	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.8344681946390144
fbfcfa9c4f00db26148fb59897727e48	d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus_5141	0.9996206295095731
d09755b4e30fbaad6dc38e02bbed0d8f	d__Bacteria	0.9999654573611507
5293bf94ec366ab72404a23bd02108c3	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.9001306529496332
5b93583f4647793447471b80d1a7cba4	d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Nitrososphaerales; f__Nitrosopumilaceae	0.9999999457009648
b718c722255087bef4ed0e50b645367a	d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Nitrososphaerales; f__Nitrosopumilaceae	0.9999965591109077
52d2e38669f910d4084cb7cbfca0e81e	d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopelagicus; s__Nitrosopelagicus sp000402075	0.9993187674241163
4f3cc2f290e567406ff5d32bed9588a3	d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Nitrososphaerales; f__Nitrosopumilaceae	0.9999863920489731
ab20ad2caef828f6272f7707d549d8c5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Arenicellales; f__LS-SOB; g__LS-SOB; s__LS-SOB sp001543005	0.9927501245656588
9e8acebf9e01f711fc13b8db2ae0cdb5	d__Bacteria; p__Desulfobacterota_D; c__UBA1144; o__RKRQ01; f__RKRQ01; g__RKRQ01; s__RKRQ01 sp009840385	0.9999955177741934
8d55add8d985f5c811450fa1f9662109	d__Bacteria; p__Proteobacteria	0.9712346290368884
cef1e82bb93cfc877c3cac55c30683b6	d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__QQVD01; g__WTGL01; s__WTGL01 sp009836625	0.7794138682385277
74777e0383b1e01f72bbdeb76b8f7001	d__Bacteria; p__Desulfobacterota_D; c__UBA1144; o__RKRQ01; f__RKRQ01; g__RKRQ01; s__RKRQ01 sp009840385	0.9999967426564541
469ccbb6c3a59910214d516ee7883859	d__Bacteria	0.9999999999999797
84db16f64879ffd334dd77af0ba76876	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Arenicellales; f__LS-SOB; g__LS-SOB; s__LS-SOB sp001543005	0.9176747750508772
75ea33606397512a0c64ea65523a158b	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__VXMN01; f__VXMN01; g__VXMN01; s__VXMN01 sp009841055	0.9999433766164239
7496d1ed533538043a0bc0ddc20ccf3d	d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Nitrososphaerales; f__Nitrosopumilaceae	0.9999870524286436
d89b3aa53403c1ec644ae249e8c81a42	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.9221254762092075
f60fc91ef599a84341ddd7164c66f241	d__Bacteria; p__Bacteroidota; c__Rhodothermia; o__Rhodothermales	0.9999913797508588
6a7b03491eb5721c249bab15114c9678	d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus_5141	0.9929150328299526
a054bca9e66f8a17e9fd236918d3adf3	d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus_5141	0.9914836929569316
